Neo Reference ID;name;diameter;close_approach_date;velocity;miss_distance;orbiting_body;Orbit Determination Date;Inclination;is_hazardous
3703080;3703080;0.2844722965;1995-01-01;22017.003799315;62753692.0;Earth;2017-04-06 08:36:37;6.025981287138329;True
3723955;3723955;0.3266178974;1995-01-01;65210.3460948409;57298148.0;Earth;2017-04-06 08:32:49;28.41299637199041;False
2446862;2446862;0.5176544822;1995-01-08;27326.5601819679;7622911.5;Earth;2017-04-06 09:20:19;4.237961002947924;True
3092506;3092506;0.0196806745;1995-01-15;40225.948191338;42683616.0;Earth;2017-04-06 09:15:49;7.905894348125122;False
3514799;3514799;0.2844722965;1995-01-15;35426.9917941048;61010824.0;Earth;2017-04-06 08:57:58;16.79338165999116;True
3671135;3671135;0.7145621017;1995-01-15;38911.83825064;58759768.0;Earth;2017-06-04 06:16:52;17.92775064011703;False
2495323;2495323;0.7145621017;1995-01-15;38911.829716462;58759532.0;Earth;2017-06-28 06:19:25;17.92774837902645;False
2153315;2153315;0.8590926012;1995-01-22;87918.7823817199;19324928.0;Earth;2017-04-06 09:27:05;34.69512745281478;False
2162463;2162463;1.6369672047;1995-01-22;62545.6218132504;53598364.0;Earth;2017-05-15 06:18:21;22.21521029077527;False
2306383;2306383;0.2978790628;1995-01-22;46438.5949989635;22709816.0;Earth;2017-04-06 09:24:01;2.059576978010798;True
3444370;3444370;0.1968067451;1995-01-22;80716.918732587;30075154.0;Earth;2017-04-06 09:01:38;23.18568668072357;False
3448992;3448992;0.0411187571;1995-01-22;62188.6012700346;64479012.0;Earth;2017-04-06 09:01:10;13.7442332087249;False
3611400;3611400;0.0594346868;1995-01-22;43626.6358322947;53825524.0;Earth;2017-04-06 08:48:30;8.333753551706272;False
2162854;2162854;0.8995803882;1995-02-08;38987.734642195;64425220.0;Earth;2017-04-06 09:26:24;21.26523155355708;False
3446396;3446396;1.0328564805;1995-02-08;142579.1804929074;45023444.0;Earth;2017-04-06 09:01:21;10.02263604097735;False
3764806;3764806;0.0542050786;1995-02-08;90760.6389007836;74196656.0;Earth;2017-04-06 08:21:56;19.76759210755226;False
3314405;3314405;0.5943468684;1995-02-15;11120.4141428446;35727636.0;Earth;2017-05-18 06:19:30;5.660561156228656;False
3426410;3426410;0.3750075218;1995-02-15;72069.2709657714;71520800.0;Earth;2017-04-06 09:03:02;8.278695740027688;False
3666785;3666785;0.2060819612;1995-02-15;30694.755039371;69003400.0;Earth;2017-04-06 08:41:50;5.035044225594919;False
3702321;3702321;0.1714115092;1995-02-15;28510.2865608238;16047525.0;Earth;2017-04-06 08:36:50;5.860414922890069;False
3719196;3719196;0.0358129403;1995-02-15;16759.7229360863;38220508.0;Earth;2017-04-06 08:33:47;11.94779476707688;False
3447920;3447920;0.4508582062;1995-02-15;7791.7422557238;63257484.0;Earth;2017-04-06 09:01:18;4.06169556322702;False
3005973;3005973;0.2716689341;1995-02-22;102308.2353404514;7261686.5;Earth;2017-04-06 09:18:11;4.035074270183858;True
3660308;3660308;0.0986370281;1995-02-22;37985.471179349;2952796.75;Earth;2017-07-27 17:06:05;3.854342068985657;False
3348144;3348144;0.0986370281;1995-02-22;63233.6675491447;64932800.0;Earth;2017-04-06 09:07:56;11.6076647207195;False
3646046;3646046;0.3266178974;1995-02-22;69203.3956488727;15266183.0;Earth;2017-04-06 08:45:06;35.2402424959676;True
